date,time,Open,High,Low,Close,7079,ema4,ema8,ema16,rsi
2008.12.05,12:00:00,135.07,135.69,133.25,134.29,7414,134.95446472747724,135.49509928182718,136.61865606129913,6.595341418863711
2008.12.05,16:00:00,134.3,134.87,133.6,134.34,9890,134.70867883648634,135.23841055253226,136.35057887761687,13.991537349267858
2008.12.05,20:00:00,134.35,137.5,134.25,137.01,6566,135.62920730189182,135.632097096414,136.42815783319136,90.90521465989107
2008.12.08,00:00:00,136.83,136.99,136.15,136.65,2873,136.03752438113509,135.85829774165532,136.45425691163945,73.24284954207796
2008.12.08,04:00:00,136.63,137.06,136.47,136.88,2744,136.37451462868106,136.08534268795415,136.5043443337995,78.5645261646831
2008.12.08,08:00:00,136.87,140.72,136.8,139.58,8438,137.65670877720862,136.86193320174212,136.8661861768819,96.21918959970647
2008.12.08,12:00:00,139.59,139.7,138.08,138.87,6986,138.14202526632516,137.30817026802166,137.1019289796017,67.13766514851332
2008.12.08,16:00:00,138.88,138.94,137.11,137.35,8134,137.8252151597951,137.31746576401684,137.1311138055309,29.265252060352775
2008.12.08,20:00:00,137.34,139.04,137.22,138.39,5507,138.05112909587706,137.5558067053464,137.27921806370372,60.08033652420439
2008.12.09,00:00:00,138.4,138.47,137.55,137.56,3222,137.85467745752624,137.55673854860277,137.31225123267976,35.43824697663661
2008.12.09,04:00:00,137.55,137.85,136.99,137.32,3223,137.64080647451573,137.50412998224658,137.31316285236448,28.643991716187795
2008.12.09,08:00:00,137.31,137.56,136.2,136.62,6087,137.23248388470944,137.30765665285844,137.23161428149808,13.52169823437838
2008.12.09,12:00:00,136.61,137.49,135.92,136.26,6204,136.84349033082566,137.07484406333433,137.11730671896888,8.763119117611065
2008.12.09,16:00:00,136.25,137.16,135.52,136.67,8514,136.7740941984954,136.9848787159267,137.0646823990902,49.357843518680674
2008.12.09,20:00:00,136.66,136.76,135.46,135.88,6121,136.41645651909724,136.73935011238743,136.92530799919723,18.182110046898057
2008.12.10,00:00:00,135.87,136.74,135.74,136.65,3274,136.50987391145836,136.7194945318569,136.8929188228211,63.33128524217488
2008.12.10,04:00:00,136.64,136.98,136.29,136.71,3127,136.58992434687502,136.7173846358887,136.87139896131274,66.23502997592026
2008.12.10,08:00:00,136.7,137.75,136.47,136.79,6162,136.669954608125,136.733521383469,136.861822612923,72.12201419807472
2008.12.10,12:00:00,136.77,137.54,136.63,137.24,5905,136.89797276487502,136.84607218714257,136.90631407022616,90.58639856954683
2008.12.10,16:00:00,137.23,138.07,136.83,137.72,8845,137.226783658925,137.04027836777755,137.00204182667014,96.09874496668478
2008.12.10,20:00:00,137.73,138.34,136.45,137.07,5677,137.164070195355,137.0468831749381,137.01003690588541,37.162223454712816
2008.12.11,00:00:00,137.06,137.4,136.76,137.12,3095,137.146442117213,137.06313135828518,137.02297374048712,42.579949007879804
2008.12.11,04:00:00,137.13,138.08,136.96,137.9,3276,137.4478652703278,137.24910216755512,137.12615330042982,84.4389715364915
2008.12.11,08:00:00,137.92,138.66,137.04,137.33,6329,137.40071916219668,137.267079463654,137.1501352650851,40.88150396729621
2008.12.11,12:00:00,137.32,138.14,135.81,136.03,8643,136.852431497318,136.99217291617532,137.01835464566332,12.19258918897317
2008.12.11,16:00:00,136.04,138.16,135.79,137.92,8966,137.2794588983908,137.1983567125808,137.12443056970292,71.12069319704182
2008.12.11,20:00:00,137.93,138.15,137.23,137.39,5684,137.32367533903448,137.24094410978506,137.15567403209081,51.67199336132571
2008.12.12,00:00:00,137.4,137.85,137.07,137.81,3623,137.51820520342068,137.36740097427727,137.2326535577272,66.28456789140844
2008.12.12,04:00:00,137.83,138.18,132.43,134.29,9427,136.2269231220524,136.68353409110455,136.886459021524,10.923319764104932
2008.12.12,08:00:00,134.31,135.92,133.31,134.95,10256,135.71615387323143,136.29830429308132,136.6586403131094,32.16834027427801
2008.12.12,12:00:00,134.96,135.42,134.18,135.34,10379,135.56569232393886,136.0853477835077,136.50350615862595,47.083687585384816
2008.12.12,16:00:00,135.35,136.56,134.93,136.36,12623,135.88341539436334,136.14638160939487,136.48662308114055,75.38984253876853
2008.12.12,20:00:00,136.35,136.49,135.27,136.07,5443,135.958049236618,136.12940791841822,136.43760860100636,57.80667483688821
2008.12.15,00:00:00,136.57,137.32,135.64,136.44,3774,136.1508295419708,136.19842838099194,136.43788994206443,73.54880050101663
2008.12.15,04:00:00,136.43,136.96,136.29,136.68,2626,136.3624977251825,136.30544429632707,136.46637347829216,82.17592595267935
2008.12.15,08:00:00,136.7,137.1,135.27,135.89,6032,136.17349863510947,136.21312334158773,136.3985648337872,26.11104760407653
2008.12.15,12:00:00,135.9,136.76,135.44,136.73,7223,136.39609918106567,136.3279848212349,136.4375572062828,69.85194821519433
2008.12.15,16:00:00,136.72,139.18,136.54,138.61,8939,137.2816595086394,136.83509930540492,136.693138711426,91.7398579147472
2008.12.15,20:00:00,138.6,139.08,138.02,138.71,4477,137.85299570518364,137.25174390420383,136.93041651008176,92.3320928565975
2008.12.16,00:00:00,138.7,138.93,138.19,138.76,2713,138.2157974231102,137.58691192549188,137.1456616265427,92.84508530227414
2008.12.16,04:00:00,138.77,138.82,138.21,138.3,2464,138.24947845386612,137.74537594204924,137.28146614106709,41.61622835983573
2008.12.16,08:00:00,138.31,138.33,137.19,137.6,6390,137.98968707231967,137.7130701771494,137.31894071270625,15.532552820990524
2008.12.16,12:00:00,137.59,138.16,136.79,137.94,7057,137.9698122433918,137.76349902667175,137.3920065112114,47.49854932565824
2008.12.16,16:00:00,137.93,138.33,137.14,137.69,8046,137.85788734603508,137.7471659096336,137.42706456871593,30.515631006895664
2008.12.16,20:00:00,137.7,139.06,137.51,138.73,8301,138.20673240762105,137.96557348527057,137.58035109004348,82.51870158474146
2008.12.17,00:00:00,138.74,139.04,138.12,138.74,4539,138.42003944457264,138.13766826632155,137.71678037356776,82.76673269124247
2008.12.17,04:00:00,138.73,139.04,138.12,138.87,4898,138.6000236667436,138.30040865158344,137.85245327079508,87.41084249332933
2008.12.17,08:00:00,138.86,138.91,136.87,137.07,8189,137.98801420004617,138.02698450678713,137.7603999448192,10.328995938596098
2008.12.17,12:00:00,137.08,137.29,135.07,136.24,8778,137.28880852002771,137.62987683861223,137.58152936307576,5.6964091627038504
2008.12.17,16:00:00,136.25,136.49,134.88,135.77,11603,136.68128511201664,137.2165708744762,137.36840826153744,3.777601746941177
2008.12.17,20:00:00,135.76,136.45,135.33,135.48,6264,136.20077106720998,136.8306662357037,137.1462425837095,2.66839867466186
2008.12.18,00:00:00,135.52,136.28,135.15,136.22,4034,136.208462640326,136.69496262776954,137.03727286797897,61.044086112157345
2008.12.18,04:00:00,136.23,137.03,135.69,136.73,3899,136.4170775841956,136.7027487104874,137.00112311880497,78.67412900912736
2008.12.18,08:00:00,136.72,138.12,134.92,136.62,10468,136.49824655051736,136.68436010815688,136.9562851048279,65.8237707900554
2008.12.18,12:00:00,136.64,137.68,135.42,135.98,11905,136.2909479303104,136.52783563967756,136.8414280336717,22.69281960404556
2008.12.18,16:00:00,135.99,137.05,133.73,134.07,12723,135.40256875818625,135.98164994197143,136.51537767676913,4.620798731799669
2008.12.18,20:00:00,134.06,134.78,133.63,134.21,5991,134.92554125491176,135.58794995486667,136.2441567736198,14.59187648896191
2008.12.19,00:00:00,134.25,135.52,134.21,135.04,4617,134.97132475294706,135.46618329822962,136.102491270841,61.86392716465358
2008.12.19,04:00:00,135.05,135.89,134.73,135.05,5308,135.00279485176824,135.37369812084526,135.9786687683891,62.36585264890532
2008.12.19,08:00:00,135.06,135.34,132.56,133.28,9497,134.31367691106095,134.90843187176853,135.6611783250492,11.020360064594731
2008.12.19,12:00:00,133.29,134.33,132.83,133.93,9727,134.16020614663657,134.69100256693108,135.45751028680812,44.549913738933064
2008.12.19,16:00:00,133.92,134.21,132.83,133.22,8269,133.78412368798195,134.36411310761306,135.19427378247775,24.434840336233123
2008.12.19,20:00:00,133.23,133.44,132.29,132.9,3831,133.43047421278916,134.0387546392546,134.9243592198333,17.366601470761864
2008.12.22,00:00:00,133.25,134.65,133.13,134.09,2594,133.6942845276735,134.050142497198,134.82619931161761,73.779139152696
2008.12.22,04:00:00,134.08,134.66,133.89,134.13,3001,133.8685707166041,134.06788860893178,134.74429351025083,74.92973289723052
2008.12.22,08:00:00,134.14,134.43,133.18,133.58,6300,133.75314242996245,133.95946891805806,134.6073178031625,33.9551983708684
2008.12.22,12:00:00,133.57,133.61,132.04,133.03,8138,133.46388545797748,133.7529202696007,134.42175100279042,16.2179587858735
2008.12.22,16:00:00,133.02,133.75,132.09,133.44,7259,133.4543312747865,133.68338243191167,134.30625088481506,52.89992097840701
2008.12.22,20:00:00,133.43,133.89,133.39,133.82,3499,133.6005987648719,133.71374189148685,134.24904489836624,74.00055311797935
2008.12.23,00:00:00,133.81,133.88,133.57,133.84,1574,133.69635925892314,133.7417992489342,134.20092196914666,75.17140605871641
2008.12.23,04:00:00,133.85,133.96,133.6,133.65,1740,133.6778155553539,133.7213994158377,134.1361076198353,40.509659777104105
2008.12.23,08:00:00,133.66,134.29,133.24,133.39,4832,133.56268933321235,133.6477551012071,134.04833025279584,17.90905229770745
2008.12.23,12:00:00,133.38,133.84,132.93,133.83,5690,133.6696135999274,133.68825396760553,134.02264434070221,71.57810251987864
